,Time(s),One,Two,Three,Four
0,3.1319999999999997,24.234196270594285,23.696017579583785,23.616308147121426,23.92723432052763
1,7.194,24.22523988346887,23.696306426493344,23.615058879491123,23.927427551026856
2,11.22,24.226780764149343,23.6905294983202,23.590554211691327,23.928297088417693
3,15.238,24.22446944361586,23.673583964044862,23.584307983877732,23.92510878580596
4,19.207,24.23024775043057,23.673680244976744,23.58920886825397,23.92250017694007
5,23.333000000000002,24.234196270594285,23.679168267783645,23.57325702523247,23.92279002226463
6,27.363000000000003,24.239685690846677,23.68783360572437,23.57700473307956,23.92617155299039
7,31.353,24.243345313505213,23.68966296091341,23.5666264867282,23.926654629099946
8,35.376999999999995,24.242863783789538,23.683212086248503,23.564416313341866,23.926654629099946
9,39.335,24.23978199661227,23.680997612951394,23.55596002601057,23.92298325249559
10,43.391999999999996,24.239685690846677,23.67050297732041,23.55874675211697,23.92163064112385
11,47.398,24.24122658370484,23.667614557718895,23.58719085522064,23.923756173536056
12,51.409,24.23939677358035,23.656446051584343,23.60035603375874,23.921437410974544
13,55.38399999999999,24.240745054547162,23.652594860872306,23.59170736411009,23.92114756577247
14,59.4,24.241804418861452,23.633820440590803,23.594590248795573,23.918249115195213
15,63.422,24.236796520238038,23.621785673190235,23.62082473822956,23.91477097796732
16,67.40899999999999,24.23573715882559,23.60859567351487,23.636008265607995,23.913418370066207
17,71.42699999999999,24.235255631113773,23.60243395962734,23.63504727859377,23.912065762736816
18,75.461,24.232077551397158,23.603493002488968,23.647347955928172,23.91129284451957
19,79.539,24.227551204976788,23.608306842638783,23.659168227054934,23.91312852559036
20,83.609,24.230729276823126,23.62515539881473,23.658015026032864,23.921340795904268
