Time(s),One,Two,Three,Four
2.98,24.487,26.815,24.578,27.307
5.851,24.49,26.479,24.585,26.956
8.751,24.492,26.197,24.587,26.607
11.64,24.496,25.906,24.583,26.244
14.521,24.499,25.667,24.585,25.94
17.411,24.502,25.42,24.588,25.627
20.272,24.502,25.193,24.594,25.357
23.162,24.505,24.993,24.598,25.118
26.05,24.507,24.829,24.604,24.923
28.93,24.509,24.681,24.61,24.749
31.831,24.511,24.537,24.615,24.575
34.721,24.512,24.407,24.616,24.424
37.601,24.514,24.31,24.609,24.317
40.461,24.516,24.214,24.601,24.203
43.362,24.518,24.134,24.593,24.11
46.252,24.519,24.085,24.596,24.047
49.123,24.521,24.059,24.601,24.005
52.014,24.522,24.023,24.599,23.955
54.899,24.524,23.982,24.603,23.898
57.775,24.525,23.948,24.608,23.851
60.651,24.526,23.925,24.612,23.809
63.522,24.527,23.898,24.608,23.766
66.411,24.528,23.868,24.606,23.729
69.272,24.531,23.827,24.608,23.683
72.172,24.531,23.786,24.614,23.635
75.072,24.533,23.741,24.618,23.578
77.975,24.533,23.701,24.621,23.528
80.862,24.535,23.675,24.622,23.486
83.762,24.535,23.653,24.616,23.456
86.631,24.535,23.629,24.616,23.431
89.492,24.536,23.613,24.613,23.421
92.382,24.536,23.599,24.608,23.398
95.292,24.537,23.595,24.603,23.382
98.181,24.538,23.583,24.595,23.362
101.048,24.539,23.576,24.594,23.358
103.943,24.54,23.564,24.602,23.348
106.821,24.542,23.548,24.607,23.333
109.681,24.543,23.52,24.61,23.306
112.532,24.544,23.493,24.61,23.284
115.433,24.545,23.481,24.608,23.273
118.304,24.546,23.482,24.604,23.275
121.202,24.546,23.484,24.604,23.268
124.101,24.547,23.493,24.608,23.277
126.992,24.548,23.508,24.614,23.284
129.864,24.548,23.516,24.61,23.286
132.741,24.55,23.507,24.61,23.272
135.642,24.55,23.494,24.611,23.261
138.522,24.552,23.483,24.608,23.245
141.413,24.552,23.472,24.61,23.237
144.303,24.553,23.47,24.61,23.247
147.202,24.551,23.458,24.608,23.236
150.102,24.545,23.436,24.612,23.211
152.969,24.544,23.424,24.611,23.203
155.823,24.544,23.428,24.611,23.196
158.683,24.544,23.423,24.605,23.184
161.537,24.545,23.417,24.604,23.172
164.395,24.546,23.409,24.607,23.16
167.303,24.55,23.406,24.601,23.154
170.162,24.551,23.407,24.602,23.155
173.052,24.552,23.397,24.605,23.151
175.903,24.552,23.382,24.61,23.14
178.782,24.553,23.367,24.615,23.129
181.643,24.551,23.351,24.623,23.12
184.543,24.553,23.336,24.626,23.108
187.407,24.554,23.329,24.629,23.107
190.293,24.555,23.325,24.628,23.102
193.153,24.554,23.319,24.631,23.093
196.001,24.555,23.309,24.63,23.085
198.853,24.553,23.304,24.63,23.082
201.723,24.548,23.299,24.636,23.076
204.613,24.549,23.294,24.638,23.07
207.533,24.552,23.294,24.643,23.065
210.427,24.551,23.291,24.642,23.059
213.333,24.553,23.292,24.643,23.058
216.233,24.554,23.293,24.641,23.06
219.069,24.553,23.287,24.635,23.058
221.954,24.553,23.302,24.63,23.069
224.823,24.555,23.317,24.628,23.081
227.686,24.556,23.331,24.629,23.093
230.593,24.558,23.341,24.632,23.097
233.503,24.557,23.336,24.636,23.098
236.383,24.559,23.347,24.637,23.102
239.233,24.558,23.344,24.633,23.095
242.091,24.559,23.342,24.625,23.098
244.979,24.558,23.357,24.617,23.107
247.833,24.561,23.357,24.62,23.107
250.683,24.56,23.358,24.627,23.112
253.542,24.562,23.356,24.632,23.116
256.383,24.563,23.349,24.636,23.11
259.253,24.565,23.35,24.632,23.103
262.112,24.566,23.341,24.629,23.095
264.983,24.566,23.328,24.63,23.09
267.854,24.567,23.317,24.639,23.083
270.734,24.566,23.309,24.646,23.078
273.635,24.567,23.295,24.654,23.066
276.524,24.566,23.278,24.658,23.054
279.404,24.567,23.267,24.661,23.047
282.275,24.567,23.274,24.657,23.055
285.165,24.566,23.273,24.657,23.058
288.045,24.569,23.269,24.663,23.057
290.954,24.569,23.273,24.669,23.06
293.844,24.57,23.27,24.663,23.054
296.748,24.571,23.268,24.661,23.052
299.631,24.572,23.269,24.664,23.052
302.516,24.573,23.271,24.67,23.056
305.374,24.573,23.265,24.667,23.048
308.244,24.575,23.265,24.662,23.047
311.146,24.574,23.26,24.652,23.045
314.025,24.576,23.252,24.642,23.038
316.936,24.575,23.265,24.643,23.058
319.825,24.575,23.277,24.644,23.065
322.685,24.575,23.272,24.641,23.06
325.574,24.576,23.265,24.64,23.052
328.444,24.576,23.255,24.641,23.05
331.294,24.575,23.24,24.649,23.04
334.194,24.575,23.238,24.654,23.04
337.088,24.574,23.235,24.653,23.04
339.984,24.573,23.24,24.647,23.046
342.864,24.573,23.246,24.642,23.05
345.754,24.575,23.261,24.647,23.063
348.644,24.576,23.273,24.653,23.078
351.495,24.576,23.277,24.652,23.079
354.393,24.577,23.275,24.652,23.072
357.275,24.579,23.274,24.644,23.075
360.156,24.578,23.282,24.635,23.085
363.048,24.577,23.305,24.633,23.11
365.936,24.579,23.32,24.638,23.123
368.796,24.578,23.316,24.647,23.121
371.649,24.579,23.317,24.654,23.123
374.515,24.582,23.311,24.655,23.115
377.405,24.582,23.294,24.659,23.092
380.275,24.583,23.268,24.661,23.064
383.144,24.582,23.249,24.66,23.04
386.046,24.582,23.233,24.659,23.019
388.936,24.58,23.227,24.651,23.006
391.807,24.58,23.228,24.65,23.0
394.672,24.581,23.235,24.65,23.01
397.57,24.581,23.251,24.652,23.02
400.475,24.583,23.26,24.649,23.027
403.365,24.583,23.256,24.652,23.02
406.246,24.58,23.248,24.66,23.019
409.094,24.575,23.245,24.665,23.019
411.985,24.575,23.245,24.662,23.031
414.845,24.576,23.26,24.661,23.042
417.696,24.576,23.269,24.663,23.048
420.579,24.578,23.268,24.665,23.049
423.446,24.579,23.266,24.667,23.048
426.34,24.58,23.267,24.676,23.052
429.195,24.58,23.267,24.682,23.054
432.071,24.582,23.264,24.686,23.044
434.928,24.582,23.25,24.685,23.032
437.826,24.584,23.237,24.682,23.019
440.706,24.583,23.225,24.676,23.008
443.616,24.585,23.225,24.674,23.008
446.511,24.586,23.224,24.68,23.011
449.387,24.587,23.218,24.682,23.01
452.287,24.586,23.214,24.688,23.007
455.185,24.585,23.212,24.692,23.003
458.064,24.582,23.207,24.698,22.998
460.927,24.581,23.2,24.703,22.99
463.817,24.578,23.193,24.703,22.981
466.707,24.579,23.187,24.701,22.978
469.575,24.58,23.184,24.698,22.977
472.446,24.581,23.188,24.696,22.98
475.326,24.581,23.201,24.695,22.989
478.216,24.583,23.211,24.695,22.992
481.056,24.582,23.216,24.692,22.992
483.947,24.583,23.216,24.685,22.994
486.825,24.583,23.215,24.685,22.997
489.676,24.585,23.227,24.684,23.022
492.567,24.586,23.247,24.682,23.054
495.487,24.585,23.243,24.683,23.048
498.354,24.585,23.226,24.685,23.033
501.201,24.586,23.217,24.692,23.026
504.066,24.586,23.223,24.7,23.03
507.296,24.586,23.228,24.7,23.034
510.152,24.588,23.229,24.702,23.03
513.01,24.59,23.228,24.707,23.029
515.86,24.588,23.227,24.707,23.024
518.747,24.59,23.226,24.707,23.018
521.62,24.589,23.219,24.709,23.014
524.497,24.591,23.223,24.713,23.014
527.358,24.59,23.224,24.716,23.018
530.211,24.591,23.217,24.716,23.01
533.058,24.59,23.212,24.716,23.004
535.918,24.591,23.214,24.712,23.007
538.808,24.592,23.214,24.703,23.012
541.708,24.592,23.22,24.7,23.011
544.598,24.592,23.22,24.703,23.018
547.497,24.593,23.234,24.707,23.027
550.357,24.594,23.233,24.702,23.02
553.236,24.595,23.226,24.698,23.014
556.093,24.593,23.212,24.697,23.001
558.968,24.593,23.203,24.692,22.991
561.854,24.593,23.204,24.693,22.989
564.727,24.591,23.195,24.697,22.978
567.637,24.587,23.185,24.701,22.97
570.51,24.589,23.179,24.703,22.962
573.357,24.59,23.18,24.697,22.963
576.246,24.591,23.179,24.696,22.964
579.09,24.59,23.175,24.697,22.962
581.947,24.588,23.169,24.702,22.952
584.78,24.587,23.161,24.709,22.943
587.657,24.582,23.161,24.71,22.945
590.512,24.582,23.171,24.712,22.959
593.387,24.584,23.183,24.709,22.968
596.264,24.585,23.189,24.706,22.97
599.127,24.586,23.192,24.706,22.971
601.988,24.587,23.194,24.712,22.973
604.858,24.586,23.192,24.712,22.972
607.718,24.584,23.19,24.712,22.973
610.585,24.581,23.187,24.701,22.971
613.448,24.583,23.184,24.701,22.967
616.338,24.584,23.178,24.707,22.96
619.229,24.582,23.17,24.712,22.949
622.144,24.581,23.159,24.718,22.938
625.075,24.581,23.153,24.724,22.933
627.981,24.582,23.158,24.721,22.938
630.846,24.584,23.166,24.712,22.947
633.699,24.584,23.173,24.713,22.958
636.576,24.585,23.178,24.716,22.959
639.457,24.588,23.181,24.714,22.963
642.348,24.588,23.194,24.709,22.976
645.228,24.589,23.192,24.703,22.97
648.119,24.59,23.197,24.703,22.981
650.998,24.59,23.206,24.706,22.989
653.856,24.591,23.214,24.712,23.0
656.721,24.592,23.213,24.714,22.997
659.573,24.591,23.2,24.718,22.984
662.438,24.592,23.19,24.723,22.976
665.319,24.593,23.178,24.727,22.965
668.169,24.593,23.168,24.728,22.954
671.029,24.592,23.16,24.721,22.949
673.869,24.592,23.159,24.722,22.95
676.749,24.593,23.16,24.719,22.948
679.635,24.594,23.165,24.716,22.948
682.528,24.593,23.17,24.718,22.949
685.407,24.592,23.172,24.723,22.948
688.267,24.593,23.182,24.716,22.957
691.137,24.595,23.198,24.706,22.971
693.983,24.595,23.216,24.703,22.989
696.856,24.594,23.22,24.705,22.995
699.73,24.595,23.219,24.708,22.994
702.609,24.597,23.216,24.709,22.998
705.487,24.596,23.217,24.712,23.001
708.347,24.596,23.214,24.716,22.998
711.247,24.595,23.208,24.718,22.992
714.111,24.596,23.203,24.724,22.985
716.973,24.594,23.207,24.727,22.988
719.858,24.595,23.215,24.73,22.991
722.739,24.596,23.222,24.731,22.996
725.618,24.597,23.222,24.72,22.998
728.488,24.596,23.218,24.721,22.99
731.361,24.595,23.212,24.719,22.986
734.224,24.597,23.216,24.723,22.983
737.09,24.595,23.22,24.724,22.982
739.96,24.596,23.233,24.719,22.986
742.85,24.596,23.241,24.72,22.988
745.71,24.596,23.247,24.72,22.996
748.571,24.596,23.263,24.715,23.006
751.448,24.597,23.276,24.716,23.025
754.33,24.596,23.281,24.719,23.032
757.188,24.595,23.283,24.718,23.033
760.033,24.597,23.277,24.713,23.036
762.941,24.597,23.281,24.71,23.042
765.823,24.596,23.285,24.714,23.041
768.699,24.596,23.277,24.715,23.034
771.578,24.597,23.263,24.711,23.025
774.458,24.597,23.252,24.713,23.016
777.348,24.597,23.238,24.715,23.002
780.207,24.597,23.222,24.719,22.987
783.07,24.596,23.211,24.726,22.974
785.959,24.595,23.203,24.732,22.965
788.815,24.593,23.198,24.735,22.96
791.709,24.59,23.185,24.739,22.953
794.582,24.588,23.177,24.738,22.951
797.469,24.587,23.174,24.734,22.953
800.335,24.587,23.169,24.727,22.949
803.229,24.582,23.16,24.719,22.942
806.083,24.576,23.155,24.728,22.947
808.939,24.575,23.166,24.734,22.963
811.781,24.575,23.165,24.735,22.964
814.645,24.576,23.173,24.744,22.97
817.528,24.577,23.175,24.749,22.973
820.428,24.579,23.165,24.75,22.964
823.33,24.58,23.152,24.748,22.945
826.171,24.581,23.139,24.748,22.929
829.055,24.582,23.127,24.746,22.918
831.928,24.583,23.122,24.747,22.908
834.783,24.585,23.119,24.747,22.903
837.664,24.584,23.122,24.739,22.903
840.549,24.586,23.12,24.741,22.903
843.466,24.584,23.117,24.74,22.898
846.354,24.579,23.126,24.744,22.905
849.202,24.58,23.127,24.738,22.909
852.092,24.581,23.128,24.738,22.912
854.997,24.582,23.13,24.742,22.913
857.875,24.583,23.134,24.746,22.915
860.769,24.585,23.139,24.746,22.919
863.659,24.584,23.151,24.742,22.926
866.566,24.586,23.154,24.74,22.931
869.449,24.585,23.17,24.737,22.948
872.338,24.585,23.178,24.737,22.961
875.228,24.585,23.193,24.735,22.989
878.092,24.586,23.213,24.732,23.01
880.962,24.584,23.224,24.737,23.018
883.842,24.584,23.233,24.737,23.021
886.711,24.586,23.243,24.734,23.021
889.613,24.584,23.235,24.73,23.025
892.469,24.584,23.23,24.734,23.02
895.309,24.584,23.222,24.739,23.008
898.162,24.586,23.215,24.746,22.99
901.027,24.585,23.206,24.744,22.973
903.879,24.585,23.205,24.743,22.971
906.749,24.586,23.204,24.749,22.975
909.657,24.587,23.19,24.754,22.963
912.52,24.585,23.175,24.758,22.951
915.389,24.581,23.173,24.764,22.951
918.26,24.581,23.167,24.767,22.942
921.142,24.579,23.157,24.763,22.933
924.004,24.579,23.15,24.764,22.923
926.862,24.581,23.147,24.765,22.917
929.75,24.58,23.144,24.761,22.913
932.617,24.583,23.136,24.755,22.911
935.469,24.583,23.122,24.758,22.901
938.339,24.578,23.109,24.766,22.886
941.239,24.573,23.095,24.767,22.873
944.122,24.567,23.09,24.773,22.866
947.022,24.561,23.086,24.773,22.865
949.912,24.558,23.083,24.766,22.861
952.782,24.559,23.087,24.764,22.863
955.631,24.56,23.083,24.764,22.86
958.496,24.56,23.081,24.767,22.855
961.379,24.562,23.08,24.767,22.853
964.259,24.564,23.081,24.768,22.851
967.128,24.566,23.079,24.767,22.853
970.03,24.568,23.085,24.77,22.852
972.899,24.569,23.097,24.769,22.869
975.765,24.57,23.12,24.77,22.886
978.619,24.566,23.117,24.77,22.88
981.512,24.562,23.108,24.76,22.874
984.399,24.561,23.107,24.752,22.881
987.269,24.561,23.132,24.754,22.934
990.169,24.562,23.151,24.757,22.961
993.039,24.564,23.158,24.756,22.971
995.909,24.565,23.16,24.749,22.969
998.749,24.568,23.148,24.749,22.957
1001.593,24.568,23.151,24.755,22.966
1004.44,24.563,23.154,24.752,22.974
1007.32,24.563,23.168,24.742,22.984
1010.2,24.564,23.172,24.733,22.99
1013.063,24.566,23.178,24.735,22.998
1015.913,24.565,23.18,24.74,22.996
1018.772,24.562,23.167,24.747,22.978
1021.62,24.553,23.148,24.748,22.958
1024.512,24.554,23.132,24.748,22.939
1027.391,24.553,23.126,24.741,22.927
1030.257,24.553,23.128,24.736,22.924
1033.122,24.553,23.122,24.743,22.914
1035.98,24.554,23.115,24.745,22.904
1038.835,24.553,23.103,24.742,22.89
1041.709,24.553,23.097,24.735,22.881
1044.595,24.555,23.094,24.738,22.879
1047.45,24.555,23.11,24.745,22.882
1050.353,24.557,23.112,24.746,22.879
1053.211,24.555,23.11,24.74,22.886
1056.071,24.549,23.106,24.738,22.888
1058.933,24.551,23.101,24.736,22.886
1061.797,24.549,23.102,24.737,22.888
1064.672,24.551,23.104,24.738,22.894
1067.562,24.551,23.111,24.74,22.904
1070.452,24.553,23.124,24.74,22.912
1073.31,24.556,23.13,24.741,22.916
1076.173,24.556,23.136,24.747,22.919
1079.043,24.558,23.145,24.75,22.924
1081.903,24.56,23.156,24.747,22.928
1084.793,24.559,23.165,24.748,22.94
1087.684,24.558,23.174,24.747,22.95
1090.583,24.558,23.17,24.751,22.944
1093.45,24.56,23.168,24.755,22.94
1096.299,24.562,23.161,24.759,22.936
1099.145,24.562,23.155,24.763,22.931
1102.041,24.562,23.156,24.769,22.931
1104.932,24.561,23.154,24.773,22.928
1107.816,24.56,23.143,24.767,22.92
1110.69,24.561,23.15,24.769,22.926
1113.55,24.562,23.157,24.769,22.928
1116.391,24.562,23.159,24.767,22.928
1119.241,24.561,23.163,24.768,22.931
1122.119,24.563,23.16,24.761,22.929
1125.008,24.565,23.151,24.753,22.929
1127.888,24.564,23.147,24.749,22.921
1130.766,24.565,23.135,24.747,22.91
1133.633,24.565,23.125,24.747,22.901
1136.488,24.563,23.121,24.739,22.901
1139.341,24.565,23.119,24.731,22.903
1142.212,24.565,23.125,24.733,22.91
1145.104,24.565,23.13,24.735,22.917
1147.984,24.566,23.124,24.741,22.911
1150.88,24.565,23.12,24.745,22.903
1153.744,24.566,23.116,24.751,22.896
1156.601,24.566,23.113,24.755,22.895
1159.451,24.563,23.111,24.751,22.892
1162.33,24.563,23.111,24.757,22.889
1165.194,24.556,23.103,24.76,22.882
1168.083,24.556,23.093,24.763,22.871
1170.961,24.556,23.085,24.764,22.861
1173.851,24.558,23.082,24.764,22.853
1176.711,24.557,23.077,24.761,22.851
1179.564,24.558,23.08,24.764,22.863
1182.431,24.555,23.086,24.765,22.872
1185.331,24.552,23.094,24.769,22.88
1188.222,24.55,23.096,24.772,22.878
1191.122,24.552,23.098,24.774,22.875
1194.005,24.552,23.098,24.77,22.871
1196.846,24.553,23.094,24.764,22.867
1199.697,24.554,23.093,24.756,22.868
1202.582,24.551,23.1,24.756,22.877
1205.451,24.548,23.109,24.747,22.886
1208.322,24.548,23.108,24.745,22.889
1211.231,24.544,23.115,24.747,22.899
1214.116,24.539,23.128,24.749,22.91
1216.971,24.54,23.132,24.749,22.913
1219.821,24.538,23.124,24.752,22.907
1222.675,24.536,23.112,24.757,22.899
1225.533,24.534,23.107,24.758,22.892
1228.402,24.535,23.102,24.76,22.887
1231.272,24.535,23.096,24.757,22.886
1234.164,24.536,23.097,24.753,22.884
1237.021,24.537,23.097,24.751,22.884
1239.878,24.54,23.107,24.753,22.899
1242.735,24.54,23.128,24.76,22.91
1245.617,24.542,23.136,24.764,22.915
1248.474,24.543,23.14,24.762,22.913
1251.332,24.543,23.142,24.757,22.912
1254.171,24.541,23.149,24.759,22.914
1257.018,24.543,23.159,24.758,22.928
1259.878,24.544,23.174,24.757,22.942
1262.732,24.544,23.177,24.761,22.94
1265.613,24.545,23.18,24.762,22.951
1268.452,24.544,23.192,24.763,22.959
1271.306,24.544,23.195,24.756,22.961
1274.165,24.543,23.202,24.754,22.965
1277.026,24.545,23.211,24.757,22.966
1279.906,24.545,23.22,24.757,22.967
1282.793,24.545,23.226,24.755,22.97
1285.686,24.546,23.227,24.75,22.967
1288.554,24.547,23.23,24.748,22.982
1291.423,24.546,23.236,24.752,22.987
1294.284,24.547,23.228,24.756,22.984
1297.113,24.548,23.213,24.76,22.972
1299.959,24.548,23.196,24.762,22.955
1302.803,24.545,23.181,24.758,22.942
1305.676,24.543,23.174,24.756,22.934
1308.558,24.542,23.163,24.754,22.926
1311.443,24.539,23.153,24.754,22.92
1314.299,24.538,23.154,24.759,22.924
1317.143,24.538,23.146,24.765,22.915
1320.01,24.538,23.139,24.764,22.908
1322.901,24.539,23.14,24.762,22.909
1325.793,24.541,23.141,24.764,22.907
1328.684,24.542,23.152,24.765,22.915
1331.546,24.542,23.156,24.767,22.915
1334.423,24.542,23.155,24.764,22.912
1337.273,24.542,23.155,24.76,22.908
1340.127,24.543,23.151,24.755,22.904
1342.974,24.544,23.147,24.749,22.902
1345.878,24.544,23.149,24.75,22.901
1348.767,24.545,23.15,24.746,22.903
1351.657,24.543,23.16,24.746,22.917
1354.524,24.545,23.158,24.746,22.916
1357.377,24.543,23.161,24.751,22.921
1360.245,24.542,23.156,24.752,22.915
1363.094,24.543,23.148,24.747,22.918
1365.954,24.543,23.156,24.748,22.939
1368.805,24.541,23.167,24.749,22.952
1371.684,24.542,23.161,24.749,22.955
1374.547,24.538,23.156,24.755,22.951
1377.404,24.528,23.156,24.762,22.946
1380.234,24.524,23.154,24.767,22.942
1383.114,24.523,23.151,24.772,22.939
1385.988,24.524,23.148,24.768,22.935
1388.874,24.525,23.148,24.769,22.936
1391.758,24.528,23.156,24.771,22.939
1394.61,24.527,23.164,24.77,22.943
1397.454,24.529,23.166,24.77,22.946
1400.305,24.53,23.163,24.763,22.942
1403.173,24.53,23.159,24.758,22.939
1406.038,24.531,23.154,24.76,22.934
1408.938,24.531,23.148,24.765,22.929
1411.821,24.53,23.145,24.771,22.925
1414.675,24.531,23.142,24.767,22.927
1417.524,24.53,23.141,24.76,22.924
1420.375,24.53,23.137,24.758,22.926
1423.254,24.53,23.141,24.762,22.928
1426.108,24.531,23.145,24.765,22.925
1428.988,24.531,23.147,24.764,22.925
1431.901,24.531,23.143,24.76,22.917
1434.765,24.532,23.138,24.763,22.911
1437.614,24.532,23.135,24.762,22.909
1440.454,24.533,23.138,24.756,22.91
1443.326,24.531,23.147,24.751,22.919
1446.174,24.532,23.159,24.754,22.932
1449.048,24.533,23.169,24.76,22.945
1451.925,24.534,23.177,24.755,22.957
1454.765,24.533,23.183,24.75,22.961
1457.616,24.533,23.178,24.753,22.957
1460.465,24.532,23.178,24.752,22.964
1463.364,24.532,23.185,24.758,22.983
1466.256,24.534,23.191,24.76,22.993
1469.132,24.531,23.19,24.766,22.993
1471.976,24.527,23.183,24.765,22.987
1474.835,24.527,23.178,24.763,22.979
1477.674,24.524,23.174,24.765,22.972
1480.524,24.523,23.168,24.764,22.968
1483.384,24.525,23.169,24.764,22.971
1486.274,24.522,23.168,24.771,22.969
1489.166,24.524,23.167,24.775,22.964
1492.025,24.524,23.169,24.777,22.958
1494.88,24.525,23.163,24.771,22.954
1497.71,24.525,23.157,24.761,22.95
1500.565,24.524,23.158,24.76,22.953
1503.465,24.522,23.157,24.753,22.949
1506.349,24.519,23.153,24.759,22.941
1509.225,24.516,23.142,24.77,22.937
1512.089,24.513,23.138,24.778,22.933
1514.948,24.511,23.134,24.784,22.928
1517.805,24.509,23.136,24.784,22.925
1520.676,24.509,23.147,24.779,22.931
1523.565,24.511,23.147,24.778,22.932
1526.449,24.511,23.146,24.782,22.935
1529.316,24.514,23.156,24.778,22.945
1532.162,24.514,23.174,24.775,22.971
1535.02,24.515,23.194,24.772,22.984
1537.873,24.516,23.204,24.766,22.983
1540.73,24.516,23.213,24.768,22.984
1543.608,24.518,23.226,24.772,22.992
1546.48,24.518,23.234,24.773,22.996
1549.38,24.518,23.237,24.771,23.004
1552.254,24.519,23.246,24.771,23.022
1555.099,24.519,23.252,24.775,23.036
1557.946,24.519,23.244,24.782,23.022
1560.846,24.518,23.238,24.777,23.01
1563.725,24.52,23.235,24.772,23.003
1566.628,24.52,23.233,24.774,23.001
1569.509,24.52,23.23,24.78,22.998
1572.415,24.521,23.233,24.78,22.997
1575.276,24.52,23.228,24.779,22.994
1578.128,24.521,23.227,24.776,22.994
1581.005,24.519,23.236,24.778,22.997
1583.887,24.52,23.251,24.778,23.006
1586.76,24.521,23.254,24.775,23.009
1589.62,24.52,23.258,24.774,23.01
1592.486,24.52,23.258,24.774,23.006
1595.345,24.521,23.254,24.769,23.003
1598.195,24.521,23.249,24.772,22.999
1601.066,24.52,23.246,24.774,22.998
1603.95,24.519,23.248,24.769,22.998
1606.84,24.517,23.259,24.773,23.01
1609.74,24.517,23.275,24.78,23.019
1612.607,24.519,23.272,24.78,23.012
1615.466,24.519,23.265,24.782,23.006
1618.316,24.518,23.261,24.78,23.005
1621.177,24.518,23.267,24.767,23.004
1624.057,24.518,23.266,24.763,23.006
1626.936,24.518,23.261,24.761,23.003
1629.826,24.517,23.253,24.761,23.001
1632.736,24.518,23.253,24.756,23.0
1635.616,24.517,23.251,24.75,23.003
1638.466,24.516,23.246,24.756,22.997
1641.315,24.515,23.248,24.759,22.995
1644.175,24.515,23.26,24.761,22.998
1647.056,24.514,23.261,24.763,22.996
1649.939,24.515,23.254,24.758,22.992
1652.826,24.516,23.246,24.751,22.989
1655.696,24.516,23.245,24.751,22.989
1658.556,24.515,23.241,24.75,22.99
1661.44,24.512,23.233,24.754,22.983
1664.307,24.515,23.223,24.758,22.975
1667.178,24.512,23.215,24.764,22.972
1670.074,24.512,23.206,24.771,22.966
1672.977,24.512,23.207,24.772,22.968
1675.881,24.512,23.214,24.766,22.981
1678.736,24.51,23.214,24.765,22.981
1681.606,24.513,23.213,24.766,22.986
1684.456,24.512,23.208,24.767,22.974
1687.316,24.512,23.201,24.768,22.967
1690.206,24.512,23.201,24.766,22.963
1693.097,24.513,23.206,24.765,22.961
1695.978,24.513,23.217,24.769,22.97
1698.846,24.511,23.228,24.767,22.984
1701.699,24.512,23.233,24.767,22.988
1704.556,24.511,23.24,24.765,22.992
1707.417,24.511,23.251,24.768,23.001
1710.307,24.511,23.262,24.766,23.013
1713.226,24.51,23.278,24.761,23.025
1716.108,24.51,23.289,24.76,23.031
1718.99,24.51,23.294,24.759,23.034
1721.841,24.509,23.299,24.76,23.041
1724.701,24.508,23.305,24.764,23.052
1727.566,24.51,23.313,24.764,23.051
1730.457,24.51,23.31,24.761,23.049
1733.356,24.509,23.309,24.766,23.051
1736.236,24.508,23.311,24.766,23.053
1739.102,24.507,23.309,24.764,23.054
1741.942,24.508,23.294,24.762,23.041
1744.805,24.506,23.278,24.767,23.031
1747.682,24.507,23.264,24.764,23.021
1750.546,24.506,23.253,24.764,23.012
1753.437,24.505,23.247,24.764,23.009
1756.316,24.505,23.257,24.761,23.026
1759.226,24.503,23.268,24.76,23.039
1762.066,24.502,23.261,24.756,23.036
1764.916,24.501,23.257,24.757,23.038
1767.786,24.498,23.245,24.759,23.026
1770.676,24.499,23.244,24.758,23.021
1773.557,24.498,23.238,24.755,23.012
1776.437,24.498,23.24,24.751,23.014
1779.327,24.5,23.248,24.755,23.015
1782.176,24.499,23.259,24.762,23.016
1785.04,24.5,23.264,24.764,23.021
1787.887,24.498,23.27,24.763,23.027
1790.756,24.495,23.274,24.764,23.038
1793.627,24.491,23.271,24.77,23.04
1796.527,24.49,23.275,24.772,23.046
1799.397,24.489,23.273,24.773,23.044
1802.256,24.49,23.272,24.775,23.042
1805.1,24.49,23.263,24.776,23.034
1807.948,24.491,23.257,24.779,23.033
1810.802,24.492,23.253,24.777,23.03
1813.687,24.49,23.247,24.781,23.025
1816.557,24.49,23.246,24.783,23.021
1819.447,24.491,23.239,24.789,23.013
1822.327,24.49,23.234,24.796,23.007
1825.177,24.49,23.227,24.794,22.997
1828.031,24.49,23.221,24.792,22.994
1830.887,24.491,23.217,24.791,22.99
1833.778,24.492,23.215,24.791,22.987
1836.647,24.49,23.213,24.792,22.988
1839.547,24.489,23.21,24.793,22.986
1842.407,24.489,23.211,24.79,22.986
1845.257,24.489,23.216,24.782,22.987
1848.113,24.489,23.224,24.784,22.999
1850.977,24.49,23.234,24.789,23.005
1853.861,24.489,23.222,24.794,22.998
1856.727,24.49,23.214,24.796,22.992
1859.577,24.489,23.212,24.797,22.989
1862.437,24.489,23.212,24.795,22.989
1865.306,24.488,23.211,24.793,22.987
1868.155,24.488,23.212,24.791,22.985
1871.018,24.488,23.219,24.79,22.988
1873.877,24.488,23.23,24.788,23.007
1876.758,24.488,23.227,24.785,23.004
1879.627,24.489,23.219,24.785,22.997
1882.497,24.488,23.213,24.791,22.992
1885.387,24.489,23.209,24.791,22.989
1888.247,24.485,23.217,24.789,22.993
1891.117,24.483,23.215,24.79,22.992
1893.988,24.484,23.213,24.795,22.989
1896.861,24.483,23.208,24.797,22.984
1899.741,24.481,23.209,24.796,22.986
1902.597,24.48,23.211,24.789,22.988
1905.451,24.478,23.217,24.791,22.999
1908.307,24.478,23.221,24.792,22.999
1911.18,24.478,23.224,24.792,23.006
1914.037,24.479,23.241,24.797,23.018
1916.894,24.48,23.251,24.803,23.024
1919.743,24.479,23.255,24.801,23.027
1922.603,24.478,23.257,24.797,23.027
1925.487,24.477,23.255,24.796,23.022
1928.368,24.476,23.258,24.791,23.024
1931.257,24.477,23.266,24.786,23.031
1934.116,24.476,23.281,24.785,23.045
1936.962,24.478,23.287,24.788,23.049
1939.803,24.479,23.278,24.787,23.041
1942.648,24.478,23.274,24.787,23.04
1945.498,24.478,23.269,24.786,23.035
1948.368,24.478,23.261,24.781,23.03
1951.212,24.475,23.253,24.781,23.024
1954.062,24.472,23.243,24.781,23.018
1956.93,24.469,23.238,24.782,23.016
1959.851,24.469,23.243,24.785,23.023
