Time(s),STD,One,Two,Three,Four
276.901,0.0526,20.498,20.54,20.497,20.401
279.805,0.053,20.498,20.539,20.497,20.402
282.691,0.0533,20.500999999999998,20.537,20.498,20.403
285.593,0.0534,20.500999999999998,20.535999999999998,20.499000000000002,20.404
288.469,0.0533,20.503,20.535,20.5,20.405
291.342,0.053,20.505,20.535999999999998,20.502,20.406
294.254,0.0526,20.506,20.535999999999998,20.503,20.409000000000002
297.151,0.0521,20.506999999999998,20.535999999999998,20.504,20.41
300.031,0.0516,20.51,20.537,20.508000000000003,20.412
302.89599999999996,0.0512,20.511,20.538,20.506999999999998,20.410999999999998
305.78,0.0509,20.514,20.537,20.508000000000003,20.410999999999998
308.68,0.0506,20.514,20.539,20.509,20.410999999999998
311.573,0.0504,20.518,20.539,20.509,20.410999999999998
314.466,0.0502,20.52,20.54,20.511,20.412
317.366,0.05,20.522,20.543000000000003,20.511,20.414
320.27,0.0499,20.523000000000003,20.544,20.511999999999997,20.415
323.161,0.0497,20.526,20.546,20.511999999999997,20.417
326.04,0.0496,20.525,20.545,20.511999999999997,20.415
328.931,0.0495,20.528000000000002,20.546,20.514,20.419
331.809,0.0494,20.528000000000002,20.548000000000002,20.515,20.42
334.69199999999995,0.0494,20.531,20.549,20.516,20.422
337.596,0.0493,20.531999999999996,20.55,20.519000000000002,20.424
340.485,0.0493,20.531999999999996,20.552,20.52,20.425
343.365,0.0493,20.533,20.554000000000002,20.52,20.428
346.24,0.0492,20.535,20.554000000000002,20.523000000000003,20.430999999999997
349.111,0.0492,20.537,20.557,20.525,20.432000000000002
351.99699999999996,0.0493,20.539,20.559,20.526,20.434
354.88300000000004,0.0493,20.54,20.561,20.529,20.436
357.767,0.0494,20.541,20.561999999999998,20.53,20.438
360.642,0.0494,20.543000000000003,20.564,20.531999999999996,20.44
363.543,0.0494,20.546,20.565,20.535,20.442
366.4,0.0494,20.546,20.566,20.535999999999998,20.442999999999998
369.283,0.0493,20.548000000000002,20.569000000000003,20.538,20.445999999999998
372.19199999999995,0.0492,20.548000000000002,20.57,20.54,20.447
375.083,0.0492,20.55,20.572,20.541,20.445999999999998
377.954,0.0491,20.552,20.573,20.543000000000003,20.449
