Time(s),STD,One,Two,Three,Four
89.417,1.5288,20.355999999999998,20.424,20.412,20.307000000000002
92.27600000000001,1.5126,20.357,20.424,20.41,20.309
95.166,1.4809999999999999,20.354,20.422,20.41,20.312
98.054,1.4326,20.363,20.422,20.412,20.316
100.928,1.3657,20.377,20.422,20.414,20.317
103.82600000000001,1.2817,20.375999999999998,20.426,20.417,20.32
106.709,1.1863,20.372,20.425,20.42,20.322
109.561,1.044,20.368,20.428,20.42,20.325
112.43799999999999,0.7259,20.368,20.434,20.423,20.328
115.289,0.1539,20.367,20.441,20.426,20.329
118.296,0.0611,20.366,20.45,20.427,20.33
121.204,0.0499,20.364,20.458,20.427,20.332
124.10799999999999,0.0487,20.364,20.465999999999998,20.429000000000002,20.331
126.99799999999999,0.0488,20.367,20.473,20.429000000000002,20.332
129.859,0.049,20.371,20.475,20.428,20.333
132.72,0.0492,20.375999999999998,20.477,20.428,20.332
135.584,0.049,20.384,20.475,20.428,20.335
138.463,0.0489,20.389,20.473,20.429000000000002,20.337
141.327,0.0489,20.393,20.471,20.429000000000002,20.340999999999998
144.21,0.0488,20.399,20.469,20.430999999999997,20.344
147.11700000000002,0.0486,20.401,20.465,20.434,20.351
150.002,0.0484,20.405,20.464000000000002,20.439,20.355999999999998
152.86700000000002,0.0481,20.409000000000002,20.461,20.445,20.362000000000002
155.732,0.0479,20.414,20.459,20.451,20.368
158.619,0.0477,20.418,20.457,20.456,20.373
161.501,0.0476,20.423,20.457,20.462,20.371
164.38299999999998,0.0476,20.426,20.458,20.465999999999998,20.368
167.287,0.0475,20.43,20.459,20.47,20.366
170.175,0.0474,20.433,20.46,20.469,20.362000000000002
173.06,0.0473,20.437,20.463,20.465999999999998,20.358
175.928,0.047,20.44,20.465,20.462,20.355
178.797,0.0467,20.442999999999998,20.469,20.459,20.354
181.69,0.0462,20.445,20.472,20.457,20.352999999999998
184.581,0.0456,20.447,20.472,20.454,20.354
187.46099999999998,0.0451,20.45,20.477999999999998,20.452,20.355
190.31799999999998,0.0445,20.45,20.48,20.453,20.355
193.209,0.0442,20.452,20.483,20.453,20.357
196.092,0.0439,20.453,20.484,20.453,20.359
198.979,0.0437,20.453,20.487,20.455,20.362000000000002
201.878,0.0436,20.455,20.49,20.457,20.367
204.771,0.0436,20.456,20.494,20.459,20.373
207.648,0.0438,20.456,20.499000000000002,20.463,20.377
210.548,0.0441,20.458,20.505,20.465999999999998,20.387
213.43599999999998,0.0446,20.457,20.51,20.472,20.395
216.327,0.0451,20.459,20.517,20.476,20.404
219.209,0.0458,20.461,20.525,20.484,20.410999999999998
222.06599999999997,0.0464,20.461,20.53,20.493000000000002,20.419
224.93200000000002,0.0472,20.462,20.538,20.502,20.421
227.828,0.0481,20.463,20.546999999999997,20.509,20.422
230.727,0.049,20.464000000000002,20.553,20.515,20.421
233.585,0.0499,20.465999999999998,20.558000000000003,20.517,20.416
236.453,0.0507,20.468,20.563000000000002,20.514,20.41
239.364,0.0514,20.471,20.565,20.51,20.407
242.23,0.0518,20.473,20.561999999999998,20.506,20.403
245.111,0.0521,20.476,20.559,20.500999999999998,20.401
247.989,0.0522,20.477999999999998,20.555,20.498,20.4
250.882,0.0521,20.480999999999998,20.551,20.497,20.397000000000002
253.78799999999998,0.052000000000000005,20.482,20.548000000000002,20.494,20.398
256.683,0.0518,20.484,20.545,20.494,20.396
259.566,0.0517,20.487,20.544,20.494,20.396
262.473,0.0516,20.488000000000003,20.543000000000003,20.494,20.397000000000002
265.356,0.0516,20.489,20.543000000000003,20.495,20.397000000000002
268.22,0.0517,20.491999999999997,20.541999999999998,20.496,20.398
271.108,0.052000000000000005,20.495,20.541999999999998,20.496,20.399
274.0,0.0523,20.495,20.54,20.496,20.4
276.901,0.0526,20.498,20.54,20.497,20.401
279.805,0.053,20.498,20.539,20.497,20.402
282.691,0.0533,20.500999999999998,20.537,20.498,20.403
285.593,0.0534,20.500999999999998,20.535999999999998,20.499000000000002,20.404
288.469,0.0533,20.503,20.535,20.5,20.405
291.342,0.053,20.505,20.535999999999998,20.502,20.406
294.254,0.0526,20.506,20.535999999999998,20.503,20.409000000000002
297.151,0.0521,20.506999999999998,20.535999999999998,20.504,20.41
300.031,0.0516,20.51,20.537,20.508000000000003,20.412
302.89599999999996,0.0512,20.511,20.538,20.506999999999998,20.410999999999998
305.78,0.0509,20.514,20.537,20.508000000000003,20.410999999999998
308.68,0.0506,20.514,20.539,20.509,20.410999999999998
311.573,0.0504,20.518,20.539,20.509,20.410999999999998
314.466,0.0502,20.52,20.54,20.511,20.412
317.366,0.05,20.522,20.543000000000003,20.511,20.414
320.27,0.0499,20.523000000000003,20.544,20.511999999999997,20.415
323.161,0.0497,20.526,20.546,20.511999999999997,20.417
326.04,0.0496,20.525,20.545,20.511999999999997,20.415
328.931,0.0495,20.528000000000002,20.546,20.514,20.419
331.809,0.0494,20.528000000000002,20.548000000000002,20.515,20.42
334.69199999999995,0.0494,20.531,20.549,20.516,20.422
337.596,0.0493,20.531999999999996,20.55,20.519000000000002,20.424
340.485,0.0493,20.531999999999996,20.552,20.52,20.425
343.365,0.0493,20.533,20.554000000000002,20.52,20.428
346.24,0.0492,20.535,20.554000000000002,20.523000000000003,20.430999999999997
349.111,0.0492,20.537,20.557,20.525,20.432000000000002
351.99699999999996,0.0493,20.539,20.559,20.526,20.434
354.88300000000004,0.0493,20.54,20.561,20.529,20.436
357.767,0.0494,20.541,20.561999999999998,20.53,20.438
360.642,0.0494,20.543000000000003,20.564,20.531999999999996,20.44
363.543,0.0494,20.546,20.565,20.535,20.442
366.4,0.0494,20.546,20.566,20.535999999999998,20.442999999999998
369.283,0.0493,20.548000000000002,20.569000000000003,20.538,20.445999999999998
372.19199999999995,0.0492,20.548000000000002,20.57,20.54,20.447
375.083,0.0492,20.55,20.572,20.541,20.445999999999998
377.954,0.0491,20.552,20.573,20.543000000000003,20.449
380.844,0.049,20.553,20.575,20.544,20.45
383.7,0.0489,20.554000000000002,20.576999999999998,20.545,20.451
386.55,0.0489,20.557,20.579,20.546999999999997,20.453
389.416,0.0488,20.557,20.579,20.546,20.455
392.324,0.0487,20.558000000000003,20.58,20.55,20.456
395.176,0.0486,20.56,20.581,20.55,20.456
398.06199999999995,0.0485,20.559,20.583000000000002,20.552,20.457
400.94800000000004,0.0485,20.561999999999998,20.585,20.552,20.459
403.81199999999995,0.0484,20.564,20.585,20.554000000000002,20.461
406.702,0.0484,20.563000000000002,20.585,20.555,20.461
409.588,0.0483,20.565,20.586,20.555999999999997,20.463
412.475,0.0482,20.568,20.586,20.555999999999997,20.465
415.38,0.0481,20.568,20.588,20.558000000000003,20.465999999999998
418.273,0.0481,20.57,20.59,20.56,20.467
421.147,0.048,20.57,20.589000000000002,20.561999999999998,20.469
424.04400000000004,0.048,20.572,20.590999999999998,20.564,20.469
426.934,0.048,20.573,20.590999999999998,20.563000000000002,20.47
429.82,0.048,20.573,20.593000000000004,20.565,20.47
432.721,0.0479,20.575,20.594,20.566,20.472
435.597,0.0479,20.576999999999998,20.595,20.566999999999997,20.474
438.45300000000003,0.0478,20.576999999999998,20.596,20.566999999999997,20.475
441.311,0.0478,20.58,20.599,20.57,20.475
444.171,0.0478,20.58,20.6,20.57,20.475
447.032,0.0478,20.58,20.601,20.570999999999998,20.476
449.88800000000003,0.0478,20.581999999999997,20.601999999999997,20.570999999999998,20.477
452.76099999999997,0.0478,20.584,20.601999999999997,20.575,20.479
455.63800000000003,0.0478,20.583000000000002,20.604,20.574,20.48
458.523,0.0478,20.587,20.603,20.575,20.479
461.38300000000004,0.0479,20.587,20.605999999999998,20.576,20.48
464.25199999999995,0.0479,20.588,20.607,20.576,20.482
467.152,0.0479,20.592,20.608,20.576999999999998,20.483
470.01300000000003,0.048,20.590999999999998,20.609,20.578000000000003,20.484
472.902,0.0481,20.593000000000004,20.61,20.579,20.485
475.772,0.0481,20.595,20.611,20.58,20.487
478.64099999999996,0.0482,20.596,20.613000000000003,20.581,20.488000000000003
481.538,0.0483,20.596999999999998,20.614,20.581,20.49
484.41,0.0484,20.598000000000003,20.614,20.584,20.49
487.26199999999994,0.0484,20.599,20.615,20.585,20.491999999999997
490.13199999999995,0.0484,20.601,20.616999999999997,20.585,20.493000000000002
493.00800000000004,0.0485,20.601,20.618000000000002,20.587,20.494
495.89300000000003,0.0486,20.601999999999997,20.619,20.588,20.495
498.784,0.0486,20.604,20.62,20.59,20.496
501.661,0.0486,20.605,20.621,20.590999999999998,20.496
504.551,0.0487,20.607,20.62,20.592,20.496
507.43199999999996,0.0487,20.608,20.623,20.593000000000004,20.497
510.314,0.0488,20.608,20.624000000000002,20.594,20.499000000000002
513.2080000000001,0.0488,20.611,20.624000000000002,20.595,20.5
516.102,0.0488,20.612,20.624000000000002,20.594,20.500999999999998
519.014,0.0488,20.613000000000003,20.627,20.594,20.502
521.888,0.0488,20.615,20.627,20.596999999999998,20.505
524.786,0.0488,20.615,20.629,20.598000000000003,20.505
527.7040000000001,0.0488,20.616999999999997,20.631,20.6,20.506
530.553,0.0488,20.619,20.631999999999998,20.6,20.508000000000003
533.423,0.0488,20.619,20.634,20.604,20.51
536.303,0.0488,20.618000000000002,20.634,20.604,20.511999999999997
539.19,0.0488,20.621,20.636,20.605999999999998,20.513
542.063,0.0488,20.623,20.639,20.605999999999998,20.515
544.953,0.0489,20.624000000000002,20.64,20.607,20.516
547.845,0.0489,20.627,20.641,20.609,20.517
550.702,0.0489,20.627,20.642,20.612,20.518
553.571,0.049,20.627,20.643,20.613000000000003,20.519000000000002
556.464,0.049,20.629,20.645,20.613000000000003,20.519000000000002
559.345,0.049,20.63,20.645,20.614,20.52
562.246,0.049,20.631,20.646,20.614,20.522
565.159,0.0489,20.631999999999998,20.647,20.616,20.523000000000003
568.0409999999999,0.0489,20.634,20.648000000000003,20.616,20.524
570.914,0.0489,20.634,20.649,20.618000000000002,20.524
573.7719999999999,0.0489,20.636,20.65,20.619,20.526
576.606,0.0488,20.636,20.651,20.619,20.528000000000002
579.466,0.0488,20.638,20.651999999999997,20.62,20.528000000000002
582.351,0.0488,20.638,20.654,20.622,20.531
585.258,0.0488,20.641,20.656999999999996,20.623,20.531
588.135,0.0487,20.641,20.655,20.624000000000002,20.531999999999996
591.011,0.0487,20.642,20.656999999999996,20.625,20.534000000000002
593.875,0.0487,20.645,20.658,20.627,20.534000000000002
596.742,0.0488,20.645,20.660999999999998,20.628,20.535
599.607,0.0488,20.647,20.660999999999998,20.629,20.535
602.488,0.0489,20.648000000000003,20.660999999999998,20.631,20.537
605.371,0.0489,20.649,20.662,20.63,20.538
608.263,0.0489,20.649,20.664,20.631999999999998,20.539
611.123,0.0489,20.651999999999997,20.664,20.633000000000003,20.541
613.975,0.0489,20.651999999999997,20.666,20.635,20.541
616.831,0.0489,20.654,20.666999999999998,20.635,20.543000000000003
619.724,0.0489,20.654,20.668000000000003,20.636,20.545
622.641,0.0489,20.656,20.669,20.636999999999997,20.545
625.539,0.0489,20.656,20.671,20.638,20.546999999999997
628.442,0.0488,20.656999999999996,20.671999999999997,20.639,20.549
631.335,0.0488,20.659000000000002,20.671999999999997,20.642,20.551
634.178,0.0488,20.66,20.674,20.642,20.551
637.052,0.0488,20.660999999999998,20.676,20.645,20.553
639.962,0.0488,20.660999999999998,20.677,20.645,20.555999999999997
